datetime,market,open,high,low,close,vol
2022-08-18 21:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.2
2022-08-18 21:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-18 22:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-18 22:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-18 23:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-18 23:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 00:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 00:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 01:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 01:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 02:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 02:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 03:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 03:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 04:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 04:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 05:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 05:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 06:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 06:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 07:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 07:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 08:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 08:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 09:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 09:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 10:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 10:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 11:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 11:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 12:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 12:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 13:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 13:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 14:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 14:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 15:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 15:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 16:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 16:30:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
2022-08-19 17:00:00,SOL/USD,41.0875,41.0875,41.0875,41.0875,0.0
